	shluc1	shluc2	shY1	shY2
ENSG00000009335	2325	2516	2020	1840
ENSG00000009413	488	539	532	480
ENSG00000009694	579	687	69	73
ENSG00000009709	102	135	35	20
ENSG00000009724	37	37	33	28
ENSG00000009765	0	1	0	0
ENSG00000009780	85	80	93	71
ENSG00000009790	35	31	17	24
ENSG00000009830	256	324	301	299
ENSG00000009844	667	761	794	839
ENSG00000009950	2	1	0	0
ENSG00000009954	3375	3929	3575	3463
ENSG00000010017	704	794	923	877
ENSG00000010030	0	0	2	1
ENSG00000010072	199	276	259	237
ENSG00000010165	473	593	599	581
ENSG00000010219	52	50	45	47
ENSG00000010244	1733	1957	1878	1841
ENSG00000010256	2549	2965	2812	2643
ENSG00000010270	820	915	686	631
ENSG00000010278	835	999	841	762
ENSG00000010282	0	0	0	0
ENSG00000010292	3024	3465	2990	2944
ENSG00000010295	250	304	269	285
ENSG00000010310	25	16	8	8
ENSG00000010318	51	79	46	56
ENSG00000010319	4	5	5	1
ENSG00000010322	891	991	767	700
ENSG00000010327	92	108	51	41
ENSG00000010361	92	118	126	128
ENSG00000010379	2	2	3	1
ENSG00000010404	265	332	235	235
ENSG00000010438	0	0	0	0
ENSG00000010539	77	122	91	89
ENSG00000010610	3	6	3	4
ENSG00000010626	17	34	14	4
ENSG00000010671	0	0	1	0
ENSG00000010704	165	188	158	152
ENSG00000010803	430	495	451	422
ENSG00000010810	418	464	281	238
ENSG00000010818	285	380	255	290
ENSG00000010932	1	1	0	0
ENSG00000011007	1434	1702	1242	1318
ENSG00000011009	584	720	706	623
ENSG00000011021	290	357	261	258
ENSG00000011028	1513	1621	1863	1864
ENSG00000011052	0	0	0	0
ENSG00000011083	0	3	0	0
ENSG00000011105	246	255	227	198
ENSG00000011114	409	524	392	372
ENSG00000011132	208	186	214	208
ENSG00000011143	136	119	88	76
ENSG00000011198	208	270	228	248
ENSG00000011201	3	11	3	1
ENSG00000011243	610	735	655	584
ENSG00000011258	193	217	134	141
ENSG00000011260	685	816	1038	894
ENSG00000011275	814	946	1081	1085
ENSG00000011295	824	898	800	718
ENSG00000011304	6261	6853	7016	7006
ENSG00000011332	57	74	64	64
ENSG00000011347	4	1	1	0
ENSG00000011376	417	474	322	356
ENSG00000011405	752	791	670	653
ENSG00000011422	855	895	1311	1254
ENSG00000011426	4895	5535	7192	7475
ENSG00000011451	959	1011	943	899
ENSG00000011454	398	424	466	420
ENSG00000011465	0	2	0	0
ENSG00000011478	253	302	205	193
ENSG00000011485	1301	1429	1355	1305
ENSG00000011523	102	93	94	80
ENSG00000011566	253	287	263	280
ENSG00000011590	0	0	1	1
ENSG00000011600	2	3	3	6
ENSG00000011638	30	38	12	10
ENSG00000011677	176	170	314	327
ENSG00000012048	760	916	712	733
ENSG00000012061	1070	1234	1170	1077
ENSG00000012124	0	0	0	0
ENSG00000012171	65	55	41	38
ENSG00000012174	346	433	415	457
ENSG00000012211	413	502	585	564
ENSG00000012223	44	31	7	11
ENSG00000012232	1768	2032	1400	1337
ENSG00000012504	12	14	0	0
ENSG00000012660	4322	4997	3455	3174
ENSG00000012779	0	2	3	2
ENSG00000012817	0	0	0	0
ENSG00000012822	184	169	151	165
ENSG00000012963	552	641	548	556
ENSG00000012983	570	648	663	692
ENSG00000013016	26	44	15	18
ENSG00000013275	1330	1432	1377	1399
ENSG00000013288	672	723	617	658
ENSG00000013293	0	0	0	0
ENSG00000013297	3	6	1	3
ENSG00000013306	1626	1821	1949	1792
ENSG00000013364	835	905	1161	1074
ENSG00000013374	660	882	864	858
ENSG00000013375	910	944	963	991
ENSG00000013392	75	78	83	60
ENSG00000013441	531	654	568	582
ENSG00000013503	118	167	113	131
ENSG00000013523	125	132	138	113
ENSG00000013561	538	607	635	616
ENSG00000013563	305	351	300	234
ENSG00000013573	636	788	611	624
ENSG00000013583	78	112	150	174
ENSG00000013588	105	124	196	187
ENSG00000013619	294	337	329	297
ENSG00000013725	0	0	0	0
ENSG00000013810	3233	3638	3764	3474
ENSG00000014123	507	540	538	495
ENSG00000014138	52	61	64	49
ENSG00000014164	261	258	267	247
ENSG00000014216	941	1039	1336	1314
ENSG00000014257	0	0	0	3
ENSG00000014641	1111	1248	1293	1204
ENSG00000014824	1012	1084	1005	976
ENSG00000014914	254	275	242	217
ENSG00000014919	326	348	363	360
ENSG00000015133	24	28	6	9
ENSG00000015153	71	73	97	105
ENSG00000015171	762	838	868	803
ENSG00000015285	6	5	1	0
ENSG00000015413	0	0	0	0
ENSG00000015475	283	330	436	384
ENSG00000015479	31	39	22	35
ENSG00000015520	0	0	0	0
ENSG00000015532	471	499	471	417
ENSG00000015568	3	43	9	13
ENSG00000015592	0	0	1	0
ENSG00000015676	1020	1129	1240	1249
ENSG00000016082	0	0	0	0
ENSG00000016391	148	151	96	94
ENSG00000016402	0	4	3	0
ENSG00000016490	0	0	0	0
ENSG00000016602	0	0	0	0
ENSG00000016864	458	455	476	432
ENSG00000017260	931	1082	948	857
ENSG00000017427	0	5	5	0
ENSG00000017483	1	0	2	6
ENSG00000017797	1222	1452	960	1010
ENSG00000018189	421	485	342	326
ENSG00000018236	514	648	794	744
ENSG00000018280	7	7	2	3
ENSG00000018408	1026	1163	695	690
ENSG00000018510	2235	2446	2524	2508
ENSG00000018607	0	0	0	0
ENSG00000018610	298	298	305	301
ENSG00000018625	0	0	0	0
ENSG00000018699	182	198	218	240
ENSG00000018869	6	17	14	8
ENSG00000019102	9	8	2	1
ENSG00000019144	745	814	1039	1032
ENSG00000019169	1	0	0	1
ENSG00000019186	114	132	65	88
ENSG00000019485	110	129	123	110
ENSG00000019505	0	0	0	0
ENSG00000019549	145	193	145	152
ENSG00000019582	90	125	113	124
ENSG00000019991	0	0	0	0
ENSG00000019995	460	487	469	463
ENSG00000020129	648	754	570	615
ENSG00000020181	185	208	128	107
ENSG00000020219	0	0	0	0
ENSG00000020256	210	180	205	196
ENSG00000020426	111	108	169	140
ENSG00000020577	258	289	178	190
ENSG00000020633	8	4	7	2
ENSG00000020922	283	327	299	292
ENSG00000021300	119	149	99	90
ENSG00000021355	1	1	3	3
ENSG00000021461	2	0	0	0
ENSG00000021488	4	2	0	0
ENSG00000021574	222	208	210	223
ENSG00000021645	23	32	64	58
ENSG00000021762	68	76	28	34
ENSG00000021776	680	810	880	800
ENSG00000021826	109	148	96	87
ENSG00000021852	0	0	0	0
ENSG00000022267	501	579	787	776
ENSG00000022277	683	775	868	885
ENSG00000022355	0	0	0	0
ENSG00000022556	0	0	0	0
ENSG00000022567	184	267	155	161
ENSG00000022840	1215	1392	1454	1373
ENSG00000022976	174	150	150	151
ENSG00000023041	441	542	481	532
ENSG00000023171	27	26	8	9
ENSG00000023191	963	1075	1258	1182
ENSG00000023228	1282	1329	1612	1607
ENSG00000023287	653	770	563	612
ENSG00000023318	367	443	474	410
ENSG00000023330	493	543	485	518
ENSG00000023445	60	74	121	109
ENSG00000023516	546	713	581	586
ENSG00000023572	261	314	410	311
ENSG00000023608	248	306	438	476
ENSG00000023697	147	171	231	184
ENSG00000023734	1330	1520	1733	1769
ENSG00000023839	283	291	49	54
ENSG00000023892	5	5	1	5
ENSG00000023902	175	211	175	129
ENSG00000023909	907	1063	1244	1204
ENSG00000024048	439	477	462	445
ENSG00000024422	892	1083	1055	1040
ENSG00000024526	1408	1730	1740	1719
ENSG00000024862	109	141	138	157
ENSG00000025039	103	161	41	38
ENSG00000025156	274	350	364	305
ENSG00000025293	619	645	533	469
ENSG00000025423	82	46	57	52
ENSG00000025434	95	118	83	95
ENSG00000025708	7	13	4	11
ENSG00000025770	544	603	660	635
ENSG00000025772	760	949	1116	1102
ENSG00000025796	1146	1309	1281	1304
ENSG00000025800	1081	1245	1255	1100
ENSG00000026025	56895	64203	60449	56500
ENSG00000026036	42	41	28	31
ENSG00000026103	102	119	181	184
ENSG00000026297	61	81	97	58
ENSG00000026508	11841	13809	13762	13543
ENSG00000026559	11	14	0	3
ENSG00000026652	296	290	300	279
ENSG00000026751	1	0	0	0
ENSG00000026950	104	105	71	72
ENSG00000027001	88	99	107	109
ENSG00000027075	20	15	39	45
ENSG00000027644	0	1	0	1
ENSG00000027697	312	354	294	321
ENSG00000027847	240	263	236	231
ENSG00000027869	1	0	0	0
ENSG00000028116	107	105	96	119
ENSG00000028137	2	3	1	8
ENSG00000028203	491	560	514	459
ENSG00000028277	2	3	7	6
ENSG00000028310	560	659	705	596
ENSG00000028528	1066	1216	1079	976
ENSG00000028839	204	233	285	259
ENSG00000029153	421	493	729	704
ENSG00000029363	1921	2273	2093	2138
ENSG00000029364	1347	1493	1494	1334
ENSG00000029534	214	273	82	74
ENSG00000029559	0	1	0	0
ENSG00000029639	131	180	190	160
ENSG00000029725	872	1051	1012	969
ENSG00000029993	1331	1432	1558	1393
ENSG00000030066	897	990	852	792
ENSG00000030110	320	378	544	471
ENSG00000030304	0	0	0	0
ENSG00000030419	15	30	22	25
ENSG00000030582	1489	1727	1557	1466
ENSG00000031003	577	710	752	766
ENSG00000031081	281	294	332	328
ENSG00000031691	262	292	211	228
ENSG00000031698	1090	1248	1498	1440
ENSG00000031823	867	928	890	854
ENSG00000032219	110	139	147	157
ENSG00000032389	197	246	220	190
ENSG00000032444	1189	1293	1345	1177
ENSG00000032742	57	102	93	60
ENSG00000033011	322	355	387	395
ENSG00000033030	266	312	376	404
ENSG00000033050	294	252	311	277
ENSG00000033100	1424	1705	1474	1458
ENSG00000033122	25	18	11	23
ENSG00000033170	399	470	736	797
ENSG00000033178	1712	2069	1277	1290
ENSG00000033327	146	131	133	135
ENSG00000033627	531	612	453	444
ENSG00000033800	429	545	416	373
ENSG00000033867	1492	1636	1226	1275
ENSG00000034053	495	547	514	503
ENSG00000034152	525	549	568	568
ENSG00000034239	1	0	0	0
ENSG00000034510	5927	6804	10474	9356
ENSG00000034533	68	71	90	81
ENSG00000034677	408	417	334	404
ENSG00000034693	143	150	160	162
ENSG00000034713	294	350	300	292
ENSG00000034971	0	0	0	0
ENSG00000035115	125	132	109	111
ENSG00000035141	684	766	598	549
ENSG00000035403	3358	3605	4651	4336
ENSG00000035499	526	543	602	666
ENSG00000035664	135	167	59	49
ENSG00000035681	448	474	525	521
ENSG00000035687	405	434	575	557
ENSG00000035720	0	0	0	0
ENSG00000035862	1857	2085	1810	1766
ENSG00000035928	1228	1504	1213	1172
ENSG00000036054	458	545	502	451
ENSG00000036257	868	983	1182	1148
ENSG00000036448	0	1	0	0
ENSG00000036473	0	0	0	0
ENSG00000036530	9	8	11	5
ENSG00000036549	626	736	634	673
ENSG00000036565	0	0	0	0
ENSG00000036672	8	13	4	5
ENSG00000036828	0	0	0	0
ENSG00000037042	196	205	228	206
ENSG00000037241	169	162	257	195
ENSG00000037280	0	0	0	0
ENSG00000037474	1640	1862	1717	1594
ENSG00000037637	345	392	407	376
ENSG00000037749	315	361	322	344
ENSG00000037757	311	401	429	424
ENSG00000037897	93	101	103	111
ENSG00000037965	21	18	23	18
ENSG00000038002	123	162	121	145
ENSG00000038210	471	522	543	602
ENSG00000038219	889	1010	659	707
ENSG00000038274	910	997	878	891
ENSG00000038295	0	1	0	0
ENSG00000038358	1082	1199	1036	994
ENSG00000038382	2868	3195	2791	3028
ENSG00000038427	2546	3072	3891	4123
ENSG00000038532	301	318	285	246
ENSG00000038945	1	0	1	2
ENSG00000039068	0	0	0	0
ENSG00000039123	1362	1484	1463	1436
ENSG00000039139	48	40	42	37
ENSG00000039319	702	748	762	706
ENSG00000039523	1178	1199	1329	1264
ENSG00000039537	0	0	0	0
ENSG00000039560	1402	1651	1143	1196
ENSG00000039600	1	0	0	0
ENSG00000039650	623	642	481	461
ENSG00000039987	0	2	1	0
ENSG00000040199	574	645	599	620
ENSG00000040275	1912	1989	2106	1986
ENSG00000040341	253	289	194	185
ENSG00000040487	271	352	329	331
ENSG00000040531	184	200	171	115
ENSG00000040608	21	19	25	20
ENSG00000040633	542	535	646	649
ENSG00000040731	156	160	322	308
ENSG00000040933	288	327	404	346
ENSG00000041353	43	33	68	74
ENSG00000041357	2379	2702	2595	2339
ENSG00000041515	3	7	5	1
ENSG00000041802	836	985	855	960
ENSG00000041880	100	105	105	124
ENSG00000041982	7886	8836	6411	6576
ENSG00000041988	705	754	654	671
ENSG00000042062	0	3	1	7
ENSG00000042088	256	292	280	274
ENSG00000042286	604	659	836	783
ENSG00000042304	0	0	0	0
ENSG00000042317	40	39	60	66
ENSG00000042429	56	48	77	64
ENSG00000042445	288	341	363	355
ENSG00000042493	18	11	51	63
ENSG00000042753	940	1132	1124	1009
ENSG00000042781	0	0	0	0
ENSG00000042813	0	0	0	0
ENSG00000042832	0	0	5	0
ENSG00000042980	3	5	2	7
ENSG00000043039	0	0	0	0
ENSG00000043093	577	582	598	643
ENSG00000043143	1106	1349	1350	1311
ENSG00000043355	44	41	82	43
ENSG00000043462	2	1	3	0
ENSG00000043514	153	229	220	200
ENSG00000043591	2	3	1	1
ENSG00000044012	0	0	0	0
ENSG00000044090	430	388	349	304
ENSG00000044115	3255	3982	3825	3890
ENSG00000044446	336	372	560	550
ENSG00000044459	216	263	354	334
ENSG00000044524	1857	2095	1317	1239
ENSG00000044574	7653	8843	6312	6108
ENSG00000046604	585	637	550	425
ENSG00000046647	32	79	63	62
ENSG00000046651	177	232	279	238
ENSG00000046653	493	524	104	101
ENSG00000046774	0	0	0	0
ENSG00000046889	11	10	1	1
ENSG00000047056	314	337	281	298
ENSG00000047188	601	697	679	745
ENSG00000047230	141	219	290	262
ENSG00000047249	341	412	467	465
ENSG00000047315	4910	5669	4192	4121
ENSG00000047346	169	201	171	152
ENSG00000047365	85	163	222	159
ENSG00000047410	1919	2184	2274	2294
ENSG00000047457	62	87	96	96
ENSG00000047578	161	219	165	168
ENSG00000047579	174	153	189	225
ENSG00000047597	45	67	43	42
ENSG00000047617	1	0	1	0
ENSG00000047621	290	308	354	323
ENSG00000047634	309	415	484	459
ENSG00000047644	523	626	727	743
ENSG00000047648	6	5	10	11
ENSG00000047662	127	129	81	97
ENSG00000047849	3984	4468	3219	3235
ENSG00000047932	802	893	943	906
ENSG00000047936	13	21	23	20
ENSG00000048028	256	343	264	327
ENSG00000048052	1054	1153	650	624
ENSG00000048140	676	843	886	884
ENSG00000048162	824	924	896	918
ENSG00000048342	124	164	92	89
ENSG00000048392	426	407	377	336
ENSG00000048405	343	347	292	277
ENSG00000048462	0	0	0	0
ENSG00000048471	78	114	103	81
ENSG00000048540	2	3	0	0
ENSG00000048544	705	772	934	915
ENSG00000048545	0	0	0	0
ENSG00000048649	503	599	556	620
ENSG00000048707	528	653	495	521
ENSG00000048740	96	128	99	106
ENSG00000048828	2071	2240	2297	2245
ENSG00000048991	700	763	1023	1073
ENSG00000049089	37	23	41	34
ENSG00000049130	215	272	363	411
ENSG00000049167	190	182	158	200
ENSG00000049192	74	78	154	144
ENSG00000049239	236	287	225	190
ENSG00000049245	988	975	1432	1361
ENSG00000049246	269	346	291	281
ENSG00000049247	70	62	58	40
ENSG00000049249	6	1	5	4
ENSG00000049283	5	2	0	1
ENSG00000049323	259	341	322	328
ENSG00000049449	1243	1349	1320	1213
ENSG00000049540	1	3	4	5
ENSG00000049541	898	992	1025	994
ENSG00000049618	841	976	889	898
ENSG00000049656	1937	2084	2081	1900
ENSG00000049759	176	251	295	263
ENSG00000049768	11	6	10	8
ENSG00000049769	68	72	50	49
ENSG00000049860	1525	1614	1661	1569
ENSG00000049883	200	217	200	201
ENSG00000050030	0	0	0	0
ENSG00000050130	544	611	647	609
ENSG00000050165	2330	2621	3082	2873
ENSG00000050327	0	0	0	0
ENSG00000050344	411	471	473	481
ENSG00000050393	562	599	631	556
ENSG00000050405	902	1009	1185	1095
ENSG00000050426	306	306	286	305
ENSG00000050438	160	226	165	171
ENSG00000050555	5	2	0	5
ENSG00000050628	5	2	2	4
ENSG00000050730	1	0	0	0
ENSG00000050748	560	645	784	789
ENSG00000050767	0	0	0	0
ENSG00000050820	804	930	1227	1140
ENSG00000051009	188	228	191	193
ENSG00000051108	615	704	498	457
ENSG00000051128	192	250	506	414
ENSG00000051180	319	402	467	442
ENSG00000051341	441	478	414	425
ENSG00000051382	426	509	507	443
ENSG00000051523	0	0	2	2
ENSG00000051596	801	878	962	753
ENSG00000051620	317	433	603	512
ENSG00000051825	434	521	489	458
ENSG00000052126	7	9	1	0
ENSG00000052344	0	0	0	0
ENSG00000052723	841	910	755	778
ENSG00000052749	924	939	992	979
ENSG00000052795	141	170	99	89
ENSG00000052802	405	457	437	373
ENSG00000052841	937	1117	790	853
ENSG00000052850	10	27	19	13
ENSG00000053108	1	0	0	0
ENSG00000053254	889	1031	856	861
ENSG00000053328	0	0	0	0
ENSG00000053371	441	488	446	460
ENSG00000053372	999	1080	1150	1097
ENSG00000053438	12	15	19	11
ENSG00000053501	104	142	82	79
ENSG00000053524	101	113	106	95
ENSG00000053702	23	20	23	14
ENSG00000053747	1	0	0	2
ENSG00000053770	334	378	318	280
ENSG00000053900	354	387	356	352
ENSG00000053918	0	0	0	0
ENSG00000054116	527	632	691	650
ENSG00000054118	2139	2386	2189	2146
ENSG00000054148	305	363	336	325
ENSG00000054179	0	0	0	0
ENSG00000054219	0	0	0	0
ENSG00000054267	336	424	387	408
ENSG00000054277	117	181	159	159
ENSG00000054282	133	145	236	215
ENSG00000054356	0	1	0	0
ENSG00000054392	58	60	198	130
ENSG00000054523	1361	1486	1279	1193
ENSG00000054598	172	186	207	148
ENSG00000054611	110	138	141	123
ENSG00000054654	1242	1518	720	714
ENSG00000054690	46	46	31	34
ENSG00000054793	263	332	329	284
ENSG00000054796	0	0	0	0
ENSG00000054803	0	0	0	0
ENSG00000054938	0	2	1	0
ENSG00000054965	931	1032	1058	1004
ENSG00000054967	291	361	421	458
ENSG00000054983	0	0	0	0
ENSG00000055044	1052	1206	1276	1276
ENSG00000055070	2439	2670	2582	2485
ENSG00000055118	14	18	3	3
ENSG00000055130	1508	1714	1475	1475
ENSG00000055147	198	223	200	192
ENSG00000055163	293	317	146	126
ENSG00000055208	1360	1702	1616	1646
ENSG00000055211	529	575	675	675
ENSG00000055332	844	938	848	881
ENSG00000055483	813	883	838	838
ENSG00000055609	1186	1346	867	856
ENSG00000055732	2	1	2	0
ENSG00000055813	0	2	7	3
ENSG00000055917	1066	1234	1030	1003
ENSG00000055950	600	643	669	674
ENSG00000055955	0	0	2	0
ENSG00000055957	0	1	1	0
ENSG00000056050	255	239	335	300
ENSG00000056097	1723	1872	1553	1579
ENSG00000056277	169	183	164	160
ENSG00000056291	0	0	0	0
ENSG00000056487	7	11	2	3
ENSG00000056558	33	32	31	46
ENSG00000056586	910	1108	986	928
ENSG00000056736	85	114	47	79
ENSG00000056972	244	291	283	293
ENSG00000056998	7	8	4	2
ENSG00000057019	9613	10772	11014	10424
ENSG00000057149	0	0	0	0
ENSG00000057252	562	614	867	841
ENSG00000057294	286	329	473	481
ENSG00000057468	9	1	6	1
ENSG00000057593	0	0	0	0
ENSG00000057608	2450	2929	3213	2895
ENSG00000057657	88	106	40	68
ENSG00000057663	491	548	503	418
ENSG00000057704	6	7	2	6
ENSG00000057757	576	643	677	670
ENSG00000057935	206	227	231	200
ENSG00000058056	671	753	845	821
ENSG00000058063	1000	1129	1153	1180
ENSG00000058085	22	17	12	24
ENSG00000058091	514	595	639	640
ENSG00000058262	4011	4762	3408	3319
ENSG00000058272	899	1093	970	955
ENSG00000058335	11	14	6	5
ENSG00000058404	4	0	0	0
ENSG00000058453	229	247	170	205
ENSG00000058600	455	480	432	450
ENSG00000058668	1273	1443	1186	1166
ENSG00000058673	1	2	2	0
